"Staff","Customer.Full.Name","Location.Name","Device.Name","Quantity","Product","Category","Date.Time","Discount.Value","Discount.Reason","NET.Sales","Tax.Code","Tax","TOTAL.Sales","Cost.Price","Margin","Tender","Nominal","A.C.Ref","Notes","Customer.ID","ProductId"
"Individuals"," ","Harper Adams University Main Store","Till1","2.0000","Cookies (Take)","Dessert, Confectionery, biscuit & snacks","13/05/2024 13:05:19",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517583
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Bread (Take)","Bakery, Bread & Baking ingredient","13/05/2024 13:05:19",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517548
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","1) Undergraduate student","Other","13/05/2024 13:04:53",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517521
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Cake (Take)","Bakery, Bread & Baking ingredient","13/05/2024 13:04:53",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517558
"Individuals"," ","Harper Adams University Main Store","Till1","2.0000","Cookies (Take)","Dessert, Confectionery, biscuit & snacks","13/05/2024 13:04:53",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517583
"Individuals"," ","Harper Adams University Main Store","Till1","2.0000","Bread and bakery (Take)","Other","13/05/2024 13:02:43",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21376212
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","2) Staff member","Other","13/05/2024 13:02:43",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517522
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","2) Staff member","Other","13/05/2024 13:00:15",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517522
"Individuals"," ","Harper Adams University Main Store","Till1","6.0000","Cake (Take)","Other","13/05/2024 13:00:15",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081448
"Individuals"," ","Harper Adams University Main Store","Till1","2.0000","Cookies (Take)","Dessert, Confectionery, biscuit & snacks","13/05/2024 12:58:16",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517583
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","1) Postgraduate student","Other","13/05/2024 12:58:16",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517520
"Individuals"," ","Harper Adams University Main Store","Till1","7.0000","Cake (Take)","Other","13/05/2024 12:57:14",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081448
"Individuals"," ","Harper Adams University Main Store","Till1","3.0000","Cake (Take)","Other","13/05/2024 12:57:14",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081448
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","2) Staff member","Other","13/05/2024 12:57:14",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517522
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Cake (Take)","Bakery, Bread & Baking ingredient","13/05/2024 12:56:20",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517558
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Cookies (Take)","Dessert, Confectionery, biscuit & snacks","13/05/2024 12:56:20",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517583
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Cookies (Take)","Dessert, Confectionery, biscuit & snacks","13/05/2024 12:56:20",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517583
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","1) Postgraduate student","Other","13/05/2024 12:56:20",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517520
"Individuals"," ","Harper Adams University Main Store","Till1","68000.0000g","Cake (Donate)","Bakery, Bread & Baking ingredient","13/05/2024 12:51:42",0," ",0," ",0,0,0,0,"Returning user"," "," ","MAN WT"," ",20517557
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","2) Staff member","Other","13/05/2024 12:51:42",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517522
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","2) Staff member","Other","13/05/2024 12:48:36",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517522
"Individuals"," ","Harper Adams University Main Store","Till1","3600.0000g","Cake (Donate)","Bakery, Bread & Baking ingredient","13/05/2024 12:48:36",0," ",0," ",0,0,0,0,"Returning user"," "," ","MAN WT"," ",20517557
"Individuals"," ","Harper Adams University Main Store","Till1","2.0000","Bread (Take)","Bakery, Bread & Baking ingredient","13/05/2024 11:51:51",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517548
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","2) Staff member","Other","13/05/2024 11:51:51",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517522
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Noodles (Take)","Dried Pasta, Rice, Noodles & Pulse","13/05/2024 11:51:23",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517652
"Individuals"," ","Harper Adams University Main Store","Till1","2.0000","Milk (Take)","Other","13/05/2024 11:51:11",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081441
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Plant-based Patties (Take)","Other","13/05/2024 11:49:56",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22098486
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","2) Staff member","Other","13/05/2024 11:49:56",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517522
"Individuals"," ","Harper Adams University Main Store","Till1","3.0000","Bread and bakery (Take)","Other","13/05/2024 11:38:00",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21376212
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Ham (Take)","Other","13/05/2024 11:06:03",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081444
"Individuals"," ","Harper Adams University Main Store","Till1","4.0000","Bread and bakery (Take)","Other","13/05/2024 11:05:51",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21376212
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Ham (Take)","Other","13/05/2024 10:57:41",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081444
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Bread and bakery (Take)","Other","13/05/2024 10:57:41",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21376212
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Bread (Take)","Bakery, Bread & Baking ingredient","13/05/2024 10:40:54",0," ",0," ",0,0,0,0,"First time user"," "," "," "," ",20517548
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Bread (Take)","Bakery, Bread & Baking ingredient","13/05/2024 10:37:45",0," ",0," ",0,0,0,0,"First time user"," "," "," "," ",20517548
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Dips  and Houmous (Take)","Other","13/05/2024 10:37:45",0," ",0," ",0,0,0,0,"First time user"," "," "," "," ",22081442
"Individuals"," ","Harper Adams University Main Store","Till1","2.0000","Sandwich Thins (Take)","Bakery, Bread & Baking ingredient","13/05/2024 10:37:45",0," ",0," ",0,0,0,0,"First time user"," "," "," "," ",20517693
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Bread and bakery (Take)","Other","13/05/2024 10:32:29",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21376212
"Individuals"," ","Harper Adams University Main Store","Till1","2.0000","Bread and bakery (Take)","Other","13/05/2024 10:32:11",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21376212
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","2) Staff member","Other","13/05/2024 10:32:11",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517522
"Individuals"," ","Harper Adams University Main Store","Till1","2.0000","Bread (Take)","Bakery, Bread & Baking ingredient","13/05/2024 10:26:16",0," ",0," ",0,0,0,0,"First time user"," "," "," "," ",20517548
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Sandwich Thins (Take)","Other","13/05/2024 10:24:07",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517694
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Cheese & Soft cheese (Take)","Dairy & Dairy alternatives","13/05/2024 10:14:17",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517566
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Ready meal box (Take)","Ready meal, pizza, soup & Salad boxes","13/05/2024 10:14:17",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517684
"Individuals"," ","Harper Adams University Main Store","Till1","2.0000","Milk (Take)","Other","13/05/2024 10:14:17",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081441
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Bread (Take)","Bakery, Bread & Baking ingredient","13/05/2024 10:14:17",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517548
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Milk (Take)","Other","13/05/2024 10:07:56",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081441
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","2) Staff member","Other","13/05/2024 10:07:56",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517522
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Bread and bakery (Take)","Other","13/05/2024 10:07:56",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21376212
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Carrots (Take)","Other","13/05/2024 10:07:56",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20545090
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Carrots (Take)","Other","13/05/2024 10:07:34",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20545090
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Lemon (Take)","Other","13/05/2024 09:49:39",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21414314
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Sandwiches (Take)","Ready meal, pizza, soup & Salad boxes","13/05/2024 09:48:11",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517696
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","1) Postgraduate student","Other","13/05/2024 09:38:18",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517520
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Sandwiches (Take)","Other","13/05/2024 09:38:18",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21720864
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Sandwiches (Take)","Other","13/05/2024 09:34:59",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21720864
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Sandwiches (Take)","Ready meal, pizza, soup & Salad boxes","13/05/2024 09:32:36",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517696
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Fresh Vegetables (Take)","Other","13/05/2024 09:26:13",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21437093
"Individuals"," ","Harper Adams University Main Store","Till1","2.0000","Bread and bakery (Take)","Other","13/05/2024 09:26:13",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21376212
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Plant-based Patties (Take)","Other","13/05/2024 09:25:22",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22098486
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Milk (Take)","Other","13/05/2024 09:25:22",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081441
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Bread and bakery (Take)","Other","13/05/2024 09:25:22",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21376212
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Sandwich Thins (Take)","Other","13/05/2024 09:25:22",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517694
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Cheese & Soft cheese (Take)","Dairy & Dairy alternatives","13/05/2024 09:21:42",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517566
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Sandwiches (Take)","Ready meal, pizza, soup & Salad boxes","13/05/2024 09:21:42",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517696
